FID;Index;ID;Sampling_s;Dist_city;Dist_road;Dist_water;Dist_wat_1;Dist_wat_2;Dist_humse;HDens_2km;HDens_500m;NDVImean_5;NDVImean_6;NDVImean_2;cattle_num;cattle_fre;effort_day;xcoord;ycoord;PA;survey_are;pa_type;year;Biome;CTmodel;CTnumber;CTcode;CTcode2;trail;trail_type;trail_ty_1;team;team2;team3;veg_field;cattle_fie;Prob_fogo
194;195;204;OCGB31;1,117842;-0,834147;0,009447;1,288391;-0,222332;-0,947471;1,835827;0,402995;-0,669588;-0,768328;-0,728732;-0,276328;-0,270365;0,046886;-44,788129;-14,573346;GB;GB;0;2017;Cer;trophycam;B131200426;B;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CERR SS/RALO;Y;0,724808991
195;196;205;OCGB32;1,194506;-0,590783;-0,003134;0,62176;-0,230838;-0,946134;1,881283;0,077644;-1,161567;-1,110887;-0,659013;-0,054231;-0,06003;0,046886;-44,793679;-14,560632;GB;GB;0;2017;Cer;trophycam;B110304357;A;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CERR SS/RALO;Y;0,559781015
196;197;206;OCGB33;1,408058;-0,21778;-0,4876;-0,373074;-0,558378;-0,936372;0,631242;0,649402;-0,632166;-0,512405;-0,555294;1,35238;1,272089;0,046886;-44,825512;-14,559924;GB;GB;0;2017;Cer;agressor;B150801797;D;D;1;carreiro;carreiro;GBF;GBF;GBF PH;CER SS;Y;0,533694029
197;198;207;OCGB34;1,470743;-0,136775;-0,935752;-1,087237;-0,861367;-0,942293;-0,02484;0,959123;1,541756;-0,104615;-0,630848;-0,276328;-0,270365;-2,179983;-44,837581;-14,566185;GB;GB;0;2017;Cer;trophycam;B12017980;B;A;1;carreiro;carreiro;GBF;GBF;GBF PH;VER;Y;0,141684994
198;199;208;OCGB35;1,341253;-0,285986;0,044483;-0,368724;-0,198644;-0,924764;1,641016;0,165898;-0,501758;-0,638798;-0,663587;-0,054231;-0,06003;0,046886;-44,812663;-14,553914;GB;GB;0;2017;Cer;trophycam;B140621051;C;C;1;carreiro;carreiro;GBF;GBF;GBF PH;CER RALO;Y;0,766166985
199;200;209;OCGB36;1,255636;-0,687486;-0,13454;0,217729;-0,319679;-0,894174;0,88125;1,459644;-0,464774;-0,464268;-0,668351;-0,276328;-0,270365;0,046886;-44,813626;-14,585042;GB;GB;0;2017;Cer;trophycam;B120101324;B;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CER SS;Y;0,608699024
200;201;210;OCGB37;1,598125;-0,69803;-0,265169;-0,224719;-0,407995;-0,859202;0,088295;-0,171954;-0,42868;-0,549485;-0,522829;-0,276328;-0,270365;0,190555;-44,88457;-14,664537;GB;GB;0;2017;Cer;trophycam;B120815259;B;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CER RALO;Y;0,700739026
201;202;211;OCGB38;1,513466;-0,811867;0,028473;-0,097995;-0,209469;-0,532984;-0,436975;-0,171954;-0,554928;-0,510149;-0,488007;-0,276328;-0,270365;-0,312286;-44,871855;-14,659181;GB;GB;0;2017;Cer;trophycam;B131200419;B;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CER RALO;Y;0,676922977
202;203;212;OCGB39;1,455208;-1,035905;0,466962;0,598218;0,086987;-0,534117;-0,436975;-0,171954;-0,501845;-0,547875;-0,543047;-0,276328;-0,270365;-2,970163;-44,865909;-14,671061;GB;GB;0;2017;Cer;trophycam;B14062153;C;C;1;carreiro;carreiro;GBF;GBF;GBF PH;CER SS;Y;0,595229983
203;204;213;OCGB40;1,541163;-0,915326;-0,64743;0,529182;-0,666436;-0,893446;-0,186967;-0,171954;-1,221689;-0,836593;-0,574976;-0,276328;-0,270365;0,190555;-44,878782;-14,677414;GB;GB;0;2017;Cer;agressor;B150801803;D;D;0;N;N;GBF;GBF;GBF PH;CER SS;N;0,343539
204;205;214;OCGB41;1,624478;-0,76951;-0,889495;0,524267;-0,830093;-0,855661;-0,351411;0,252092;-0,429335;-0,379572;-0,494366;1,278348;1,148438;0,190555;-44,891089;-14,683313;GB;GB;0;2017;Cer;trophycam;B100817020;A;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CER SS;Y;0,711986005
205;206;216;OCGB43;1,392843;-0,446827;-0,950531;-0,399873;-0,871358;-0,951134;0,699426;0,567267;-1,139446;-0,903435;-0,808109;-0,202296;-0,197504;-0,096783;-44,838292;-14,597497;GB;GB;0;2017;Cer;trophycam;B131200699;B;A;1;trail;estrada;GBF;GBF;GBF MSP;CER SS;Y;0,637288988
206;207;217;OCGB44;1,471892;-0,22309;-0,911753;-1,143577;-0,845141;-0,90268;1,720672;-0,109394;-0,880563;-0,957793;-0,748155;-0,276328;-0,270365;-0,024949;-44,845002;-14,584364;GB;GB;0;2017;Cer;trophycam;B110307295;A;A;1;trail;trail;GBF;GBF;GBF MSP;CER SS;N;0,79549402
207;208;218;OCGB45;1,397156;-0,360502;-0,380562;-0,790766;-0,486011;-0,68141;-0,009153;-0,171954;-0,719972;-0,810855;-0,706788;-0,276328;-0,270365;-0,024949;-44,831946;-14,578867;GB;GB;0;2017;Cer;agressor;B151106892;D;D;1;carreiro;carreiro;GBF;GBF;GBF MSP;CER SS;Y;0,578117013
208;209;219;OCGB46;1,328219;-0,461166;-0,934762;-0,092459;-0,860697;-0,834992;1,402658;1,185146;-0,495121;-0,462423;-0,490158;-0,276328;-0,270365;-0,024949;-44,819189;-14,57261;GB;GB;0;2017;Cer;trophycam;B131200703;B;A;1;carreiro;carreiro;GBF;GBF;GBF MSP;CER SS;Y;0,808277011
209;210;220;OCGB47;1,039688;-1,084885;-0,053084;1,889845;-0,264608;-0,790178;0,568406;-0,171954;-0,720294;-0,745824;-0,658284;-0,128263;-0,124643;-0,096783;-44,782272;-14,586378;GB;GB;0;2017;Cer;trophycam;B101028533;A;A;1;carreiro;carreiro;GBF;GBF;GBF MSP;CER SS;Y;0,689092994
210;211;221;OCGB48;1,782268;-0,007427;0,032308;-0,583836;-0,206876;-0,517051;-0,436975;-0,171954;-0,540839;-0,433392;-0,300147;-0,276328;-0,270365;-0,024949;-44,902286;-14,62667;GB;GB;0;2017;Cer;trophycam;B121018018;B;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CER SS;Y;0,616460979
